City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
15,Aku,NG,81.48,few clouds,6.7081,7.3167,Diewa Hotel And Resort
21,Midlothian,US,86.34,clear sky,32.4824,-96.9945,Americas Best Value Inn Midlothian Cedar Hill
27,Sisophon,KH,77.67,broken clouds,13.5859,102.9737,Pyramid Hotel
28,Rikitea,PF,78.21,broken clouds,-23.1203,-134.9692,People ThankYou
31,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
32,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
39,Les Cayes,HT,82.31,overcast clouds,18.2,-73.75,Villa Orphee
43,East London,ZA,80.37,broken clouds,-33.0153,27.9116,Tu Casa
44,Ovalle,CL,81.54,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
45,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
47,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Butaritari,KI,80.44,broken clouds,3.0707,172.7902,Isles Sunset Lodge
68,Atuona,PF,79.79,overcast clouds,-9.8,-139.0333,Villa Enata
74,Bandarbeyla,SO,78.35,clear sky,9.4942,50.8122,JABIR HOTEL
75,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Kavieng,PG,82.13,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
81,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
82,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Lorengau,PG,80.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Buluang,PH,75.36,overcast clouds,13.3068,123.3425,Enon Beach Resort
99,Teseney,ER,77.29,clear sky,15.11,36.6575,Sabrin Hotel
100,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Conakry,GN,82.47,haze,9.538,-13.6773,Riviera Royal Hotel
107,Arraial Do Cabo,BR,78.76,light rain,-22.9661,-42.0278,Pousada Porto Praia
111,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
113,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
114,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
116,Anito,PH,77.49,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
123,Divo,CI,77.23,overcast clouds,5.8397,-5.36,Hôtel IROKO
124,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
128,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
133,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
136,Faanui,PF,82.51,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
142,Samarai,PG,81.9,overcast clouds,-10.6167,150.6667,Nuli Sapi
147,Arlit,NE,78.44,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
148,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
152,Dera Bugti,PK,80.24,clear sky,29.0307,69.151,Nawab Bugti House
159,Tessalit,ML,83.21,broken clouds,20.1986,1.0114,
160,Kilindoni,TZ,81.59,moderate rain,-7.9139,39.6668,Bustani B&B
164,Saint George,US,78.26,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
171,Hithadhoo,MV,81.16,broken clouds,-0.6,73.0833,Scoop Guest House
175,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
178,Becerril,CO,85.42,overcast clouds,9.7041,-73.2793,Barrio El Carmen
191,Mar Del Plata,AR,78.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
195,Manggar,ID,79.77,broken clouds,-2.8833,108.2667,Guest Hotel
197,Kendari,ID,75.33,overcast clouds,-3.945,122.4989,Hotel Wixel
199,Bubaque,GW,76.89,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Karratha,AU,80.6,broken clouds,-20.7377,116.8463,ibis Styles Karratha
209,Sorong,ID,81.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
219,Nha Trang,VN,78.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
220,Gulabpura,IN,78.44,clear sky,25.9,74.6667,Hotel N chandra
234,Malabo,GQ,82.71,broken clouds,3.75,8.7833,Magno Suites
235,Kieta,PG,82.26,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
237,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
240,Puerto Escondido,MX,86.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
248,Touros,BR,80.64,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
254,Dingle,PH,77.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
266,Ouegoa,NC,81.3,overcast clouds,-20.35,164.4333,
269,Mahibadhoo,MV,81.25,clear sky,3.7833,72.9667,Omadhoo Inn
273,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
274,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
275,Kalianget,ID,78.04,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
278,Kavaratti,IN,83.7,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
290,Houma,US,81.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
295,Sabang,ID,82.26,clear sky,5.8933,95.3214,Hotel Citra
297,Oum Hadjer,TD,77.68,clear sky,13.2954,19.6966,
301,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
302,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
304,Sola,VU,82.45,overcast clouds,-13.8833,167.55,Leumerus Bungalows
312,Placido De Castro,BR,80.91,overcast clouds,-10.3353,-67.1856,Hotel Carioca
313,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
314,Formosa Do Rio Preto,BR,79.25,broken clouds,-11.0483,-45.1931,Porto Center Hotel
318,Ciudad Del Maiz,MX,82.22,scattered clouds,22.4,-99.6,Hotel Casona del General
