City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2022-03-24 23:29:19,65.6145,-37.6368,21.36,59,97,5.84
1,Kruisfontein,ZA,2022-03-24 23:29:19,-34.0033,24.7314,61.88,87,32,11.45
2,Byron Bay,AU,2022-03-24 23:29:20,-28.65,153.6167,75.94,83,51,8.57
3,Geraldton,AU,2022-03-24 23:27:22,-28.7667,114.6,86.41,25,73,20.71
4,Carnarvon,AU,2022-03-24 23:29:21,-24.8667,113.6333,78.87,65,85,0.0
5,Avera,US,2022-03-24 23:29:21,33.194,-82.5271,61.56,62,100,6.17
6,Vestmannaeyjar,IS,2022-03-24 23:29:21,63.4427,-20.2734,42.71,77,100,4.5
7,Inuvik,CA,2022-03-24 23:29:22,68.3499,-133.7218,4.06,51,0,6.91
8,Bubaque,GW,2022-03-24 23:29:22,11.2833,-15.8333,75.74,71,4,16.51
9,Rikitea,PF,2022-03-24 23:29:23,-23.1203,-134.9692,79.9,70,100,13.67
10,Camacha,PT,2022-03-24 23:29:24,33.0833,-16.3333,58.42,77,40,17.27
11,Hualmay,PE,2022-03-24 23:29:24,-11.0964,-77.6139,71.51,80,46,9.95
12,San Fernando,PH,2022-03-24 23:29:25,15.0286,120.6898,79.21,74,15,3.98
13,Grants,US,2022-03-24 23:29:25,35.1473,-107.8514,66.43,9,0,17.27
14,Anadyr,RU,2022-03-24 23:29:26,64.75,177.4833,7.3,92,20,4.47
15,La Tuque,CA,2022-03-24 23:29:14,47.4334,-72.7824,35.85,93,100,6.91
16,Busselton,AU,2022-03-24 23:29:11,-33.65,115.3333,61.7,61,0,11.3
17,Hilo,US,2022-03-24 23:29:26,19.7297,-155.09,80.33,69,40,12.66
18,Port Alfred,ZA,2022-03-24 23:29:27,-33.5906,26.891,68.02,81,56,16.02
19,Nikolskoye,RU,2022-03-24 23:29:27,59.7035,30.7861,39.87,100,100,2.84
20,Torbay,CA,2022-03-24 23:29:28,47.6666,-52.7314,29.57,76,100,25.32
21,Bengkulu,ID,2022-03-24 23:29:28,-3.8004,102.2655,74.64,82,97,4.81
22,Ahuimanu,US,2022-03-24 23:29:29,21.4447,-157.8378,82.11,58,0,20.71
23,Coahuayana,MX,2022-03-24 23:29:29,18.7333,-103.6833,83.23,40,0,6.26
24,Pangody,RU,2022-03-24 23:29:29,65.85,74.4859,4.21,97,98,8.68
25,Solnechnyy,RU,2022-03-24 23:29:30,50.7214,136.6319,24.94,92,88,1.9
26,Cidreira,BR,2022-03-24 23:29:09,-30.1811,-50.2056,72.32,92,100,6.38
27,Luderitz,NA,2022-03-24 23:29:31,-26.6481,15.1594,64.54,80,0,16.55
28,Pisco,PE,2022-03-24 23:29:31,-13.7,-76.2167,70.02,73,0,20.71
29,Upernavik,GL,2022-03-24 23:29:31,72.7868,-56.1549,5.81,74,100,7.45
30,Cherskiy,RU,2022-03-24 23:29:32,68.75,161.3,10.98,92,100,7.16
31,Olafsvik,IS,2022-03-24 23:29:07,64.8945,-23.7142,28.45,81,100,23.47
32,Ilulissat,GL,2022-03-24 23:29:32,69.2167,-51.1,15.82,57,100,3.44
33,Chokurdakh,RU,2022-03-24 23:29:33,70.6333,147.9167,-7.92,100,95,1.7
34,Pedro Carbo,EC,2022-03-24 23:29:34,-1.8333,-80.2333,78.75,90,90,2.13
35,Lebu,CL,2022-03-24 23:29:30,-37.6167,-73.65,55.67,78,5,27.25
36,Atuona,PF,2022-03-24 23:25:27,-9.8,-139.0333,79.25,77,82,17.27
37,Nyrob,RU,2022-03-24 23:29:35,60.733,56.7202,28.0,92,100,14.7
38,Punta Arenas,CL,2022-03-24 23:29:35,-53.15,-70.9167,51.91,58,75,13.8
39,Paamiut,GL,2022-03-24 23:29:36,61.994,-49.6678,14.23,82,1,7.07
40,Karur,IN,2022-03-24 23:29:36,10.95,78.0833,80.01,78,2,3.22
